#midpoint_x midpoint_y name diameter emplacement_depth transgressive_height
388477.663 6294736.465 Sill1072 10373.9775298 6.01708403054 1.24100108519
394413.3335 6293018.635 Sill1073 2514.23142218 4.12269138927 0.129375183299
402561.8555 6291025.055 Sill1074 3903.4967081 1.64039591031 0.103749404969
400288.96 6291565.545 Sill1075 2762.2875655 2.66877278059 0.169732179754
275756.553 6316407.32 Sill1076 4312.7603817 8.07866750759 1.55837584414
294557.1645 6312765.23 Sill1077 2562.95237027 3.83200297984 1.51381524093
323710.2025 6307308.34 Sill1078 6328.07367865 2.98130305316 0.440951927628
333532.2975 6305527.66 Sill1079 2475.53515782 2.93951953052 0.141169173868
427017.4255 6286580.14 Sill1080 4286.57092224 2.98052833503 0.602260445175
424683.7415 6287082.385 Sill1081 2566.59611986 2.00831520618 0.175294072322
431731.6035 6285557.47 Sill1082 4407.95561495 1.35792297466 0.391232463938
433263.711 6285242.35 Sill1083 4501.14921198 2.96103436432 0.759621576529
449329.58 6283061.23 Sill1084 5434.77167393 3.86747563523 0.826676784199
423176.558 6287394.515 Sill1085 3090.16835983 1.29143896549 0.209622350556
427433.685 6286490.475 Sill1086 3434.95950286 0.51462881636 0.374403135058
436177.671 6284682.19 Sill1087 3731.19271455 1.39155973941 0.349810351086
429533.6255 6286039.09 Sill1088 9033.202425 1.33107752252 0.287442301852
417361.482 6288535.81 Sill1089 2708.89446739 1.25449207648 0.616859992604
446542.229 6314509.305 Sill109 9213.7452716 4.29395213189 0.349917115015
416974.281 6288605.655 Sill1090 1722.5149857 0.900526723081 0.44271729273
263415.095 6318887.385 Sill1091 2036.91531233 1.72864721548 0.149351088736
462828.3175 6279769.385 Sill1092 4323.02654835 4.96553752034 1.90245682841
258817.2975 6296961.81 Sill1094 4990.21552735 3.80598819025 1.10641416043
278739.4825 6311271.495 Sill1095 5273.67999989 6.17924797305 1.53331503406
296348.0525 6324183.405 Sill1096 7655.96777877 5.46471171085 0.631019441656
396725.1815 6414714.83 Sill1099 7753.32367102 1.85504416092 0.40818278475
311599.233 6277701.38 Sill1100 9138.60577035 8.15064739535 1.00531974107
320586.693 6282696.51 Sill1101 4900.91523294 5.3471896288 0.974629977488
333333.2355 6289744.65 Sill1102 9947.6867036 5.55660462237 0.24010642
337185.231 6240415.585 Sill1103 8807.71375029 6.42962883863 1.47841526389
328520.7425 6228655.93 Sill1104 6805.9679448 4.80162585623 1.78307813732
324294.1215 6222980.495 Sill1105 6621.7822089 3.65767695954 0.348765065284
358161.619 6268718.955 Sill1106 7734.58520001 2.26810954096 0.295139448781
370484.835 6285127.46 Sill1107 6741.37075344 2.76890912714 0.375696290656
450470.9 6272990.115 Sill1108 4237.57768175 1.35040257872 0.334405772768
445243.9 6239942.435 Sill1109 16701.5444262 1.91141378774 0.553635757797
450347.95 6226167.0 Sill1110 6444.02481761 2.5610765278 0.521889622688
450280.9 6211375.305 Sill1111 11307.2339741 2.96218900563 1.23876614636
450310.1 6231415.05 Sill1112 4822.63328172 1.37359442692 0.705101825755
451257.305 6222555.465 Sill1113 4881.80131821 3.03507992954 0.221091600431
450561.15 6302750.75 Sill1114 3098.33901631 4.8085674944 0.29298650383
452735.8545 6289336.335 Sill1115 16488.3216233 4.83245460995 0.398040160101
450593.9 6371595.75 Sill1116 5377.33136881 1.12253922277 0.495482258675
450169.5195 6359744.38 Sill1117 9473.96636439 1.28738895933 0.390208106855
450614.3165 6373095.015 Sill1118 3907.84939183 0.943436651229 0.211798882918
450812.05 6394070.5 Sill1119 4161.20611001 1.18528034075 0.231934666202
450878.8 6427006.765 Sill1120 2941.11808619 0.990657636123 0.319915412455
451770.7705 6439237.5 Sill1121 5274.87927303 1.24308294623 0.623120670564
450323.2 6216789.365 Sill1122 5568.133112 3.0582111078 0.525073831115
451498.1475 6219592.635 Sill1123 6351.75687207 2.493373871 0.634714670303
450330.4 6218151.115 Sill1124 6630.97862709 3.76314514603 0.583783002335
450481.7 6282580.685 Sill1125 9083.91223763 1.93695677125 0.238794363947
450604.7335 6367137.665 Sill1126 4754.64134351 1.62935066946 0.399021941688
441196.3435 6220694.45 Sill1128 6262.12541431 2.2033908907 0.652142315268
456773.084 6222006.28 Sill1129 3680.35721272 3.86818288206 0.746739262852
455917.1395 6239500.46 Sill1130 6413.76936099 1.54642920134 0.384081467327
456005.009 6239507.24 Sill1131 8549.6956624 3.01796208335 0.652964280141
449031.728 6239513.59 Sill1132 6797.2581715 1.56493210459 0.196479637889
444036.909 6239625.95 Sill1133 8498.56349347 1.89723808663 0.893768065936
444055.5885 6239538.85 Sill1134 2874.71973019 0.963748983084 0.0993264892409
467892.2165 6249286.335 Sill1135 9824.54451606 4.4377070799 1.44274589446
463618.0 6249326.765 Sill1136 6972.19959904 6.87586591009 0.789211284698
459271.5665 6249347.7 Sill1137 9769.87962866 3.46063108229 0.799499390314
463473.1665 6249317.3 Sill1138 4490.62427256 6.29303855644 0.583492356286
359243.461 6409394.795 Sill1139 2672.60428555 1.74339167715 0.374555280918
368485.3505 6402305.92 Sill1142 2274.49876853 0.561208475985 0.186382968814
422688.608 6360322.36 Sill1144 8948.85016831 2.00282446035 0.56480611352
450311.25 6215830.825 Sill1147 5516.30944133 4.30583675794 0.615793190972
475825.4 6285141.575 Sill1148 8616.29729734 5.73199786278 0.670071185759
419927.085 6362901.275 Sill1149 4898.89289705 3.64281426021 1.22296253756
424924.8375 6359095.765 Sill1150 3111.73871535 2.77457235822 0.692857748655
427556.461 6357094.74 Sill1151 2875.4445432 3.08980714809 1.08634651691
446343.411 6342877.99 Sill1152 10802.2724769 4.09307331183 0.872031835095
451956.0845 6338850.695 Sill1153 2163.50754766 4.26026677406 0.831235748943
431261.1965 6354248.595 Sill1154 7968.42127123 3.40296948428 0.898642975561
431337.4585 6353554.04 Sill1155 7579.8147245 2.49062842686 0.510471550432
464420.6755 6329438.475 Sill1156 13598.7954543 5.18234857454 4.58058751501
489179.3955 6297853.97 Sill1157 7058.74814055 3.46899528515 1.04268669216
439814.0915 6334042.4 Sill1158 12205.5917341 3.96109992776 1.43664225543
429693.1485 6341339.06 Sill1159 4824.43164137 2.13087105275 0.374336619639
429528.764 6341463.38 Sill1160 5086.66893324 4.83448875523 1.26531472921
426366.1975 6346431.975 Sill1161 9444.34073575 3.17066733094 1.35062444228
420261.6205 6348442.19 Sill1162 6954.36388661 3.02478400008 0.242981016041
413719.2635 6353243.255 Sill1163 3950.63066848 1.7421152774 1.11477616217
408352.6395 6357533.885 Sill1164 8579.17744077 2.99404011349 1.12769504018
434281.3365 6337989.18 Sill1165 8787.04677618 4.6739320873 0.717526545135
444107.6755 6324270.7 Sill1166 6896.99789595 5.04545231289 1.5047342613
482891.265 6297303.15 Sill1167 5332.25447943 1.30853640045 0.727871708922
479356.851 6299778.93 Sill1168 2549.23021104 4.43480525279 0.362409083059
469550.0755 6306942.17 Sill1169 3809.3984396 4.30602463463 0.40812544743
450411.64 6320152.7 Sill1170 8012.92685453 5.13959911043 1.29090063989
421837.214 6340178.65 Sill1171 11755.7991718 3.16077598536 0.743781607476
400586.6295 6355723.045 Sill1172 4287.58192178 1.38423199816 0.301840675877
424285.3055 6339675.72 Sill1173 10601.111679 2.12153928575 0.684544613858
431471.775 6384684.725 Sill1174 5400.8343448 4.95093856857 0.910644968005
