,diameter,emplacement_depth,midpoint_x,midpoint_y,name,transgressive_height
228,3150.844604171065,2.054840055299233,742934.483,6137945.415,Sill 315,0.3461994793418586
229,12678.079803927612,2.5706938373794848,757345.431,6149157.68,Sill 316,1.0435003236967932
230,2738.7388826977945,0.8677587398143451,771618.128,6160763.47,Sill 317,0.3387262791849075
231,4449.248473848973,1.4122884454516877,773650.8785000001,6162363.38,Sill 318,0.6107390680577489
232,6761.476097369797,1.3222481873246617,763818.598,6154520.29,Sill 319,0.44851444501035165
233,2825.0410641929757,0.9133083963565165,220214.258,5908624.885,Sill 32,0.461715518977257
234,9917.872551941711,1.6124633809104798,766780.8375,6156899.869999999,Sill 320,0.2732788604242071
235,7348.286756657177,2.511132519720622,768057.841,6157910.75,Sill 321,0.4003660656514958
236,5553.218716231199,2.495992202980293,761277.3304999999,6152507.875,Sill 322,0.7829904432495409
237,10459.669703849264,2.8042902824296925,607800.0120000001,6030580.51,Sill 323,0.40042928995065497
238,16017.471247590156,1.1793421171711969,665304.1015,6265026.55,Sill 324,0.9767870135044341
239,4858.422596919107,2.076996474766409,658210.697,6266739.9,Sill 325,0.49353275549705433
242,8194.91111153319,1.509507279712517,650897.6095,6272052.135,Sill 328,1.3803808268569966
243,4857.340411344728,2.136296575592593,637299.9955,6281851.08,Sill 329,0.7259109495575089
244,2601.101864956768,0.9017565040551524,221804.4045,5906496.6,Sill 33,0.4161110147473454
245,8332.500360570011,2.303045037965129,666555.179,6260656.77,Sill 330,1.0027743533186966
246,4830.455254915212,1.2169078821611494,641752.3145,6278653.535,Sill 331,0.5728905367241419
247,9182.854491252452,2.8616494683905804,644306.3085,6276806.925,Sill 332,0.9408956676268256
248,6710.956455188191,2.0321150559232644,635513.9295,6283150.425,Sill 333,0.9719403217805196
249,6911.111731299562,1.707822313738839,633796.3055,6284401.035,Sill 334,0.36024458551880123
250,1944.2818941956205,1.2607330200816,633110.458,6284898.24,Sill 335,0.5780014541714805
251,4469.482174274657,1.761257066695757,638380.2955,6281072.1,Sill 336,0.862147187040696
252,3660.3986946312207,1.4002233986394634,650685.672,6272206.845000001,Sill 337,0.6118416148946473
253,4226.533600318959,1.8566023278188484,658072.9114999999,6266842.795,Sill 338,0.6904610193760445
254,3251.2019200045524,2.3531610928533597,655525.9445,6268696.52,Sill 339,0.3761436237996201
256,4130.8384222233535,2.25408242958426,654831.52,6269203.57,Sill 340,0.3559321826196362
257,5578.013971308155,1.4372710645550963,644557.5225,6276635.815,Sill 341,0.5400719819190047
258,12594.998185235941,2.7831448309593454,731852.149,6213080.199999999,Sill 342,1.393495250880737
259,2875.202318103071,2.430042492420768,733752.8735,6211682.640000001,Sill 343,0.3791040962565009
260,18357.18910468523,3.607300879430682,765681.1215,6188496.12,Sill 344,1.8481805341399267
261,5243.245205969355,2.485257574697778,777301.8115000001,6180065.83,Sill 345,0.9615812844372331
262,5507.887600569377,2.9115381785735805,771328.4105,6184380.845000001,Sill 346,0.24401248459742275
263,2476.127102921528,2.3748033652156377,761501.5045,6191529.984999999,Sill 347,0.209834152236414
264,2951.0467597830307,2.12993414479841,759554.8544999999,6192946.109999999,Sill 348,0.3479202348096406
265,4470.34850954819,2.3428391959179966,755082.7405,6196199.425,Sill 349,1.07956171177671
266,2544.075476732838,0.6030100271669301,237784.799,5885057.4,Sill 35,0.22245836821921
267,15419.35686048843,3.548988938086146,741355.2195,6204505.925,Sill 350,1.7473358469997085
268,2820.34806838227,2.6324347662123797,738780.9865,6208016.1899999995,Sill 351,0.9682332079036584
269,8459.659508971321,3.3816155778304005,750899.0345000001,6199227.545,Sill 352,0.7149700063597746
270,6034.006813726781,2.962190589234754,756169.8905,6195409.045,Sill 353,0.43964040410309657
271,7238.267165903429,2.763505409921222,776282.265,6180803.734999999,Sill 354,0.7007332904308998
272,5032.929789271745,2.3685002906657164,768991.4475,6186078.984999999,Sill 355,0.3733379971123485
273,1864.6390384466874,2.366697981942825,740082.405,6207077.99,Sill 356,0.25314087264865526
274,13159.337686809047,1.6461127725512639,719033.775,6222418.285,Sill 357,0.4510323210437708
275,2187.095308622337,1.1134705310180795,729875.4739999999,6214512.625,Sill 358,0.1946341239601732
276,35165.84309827187,1.960432820622676,683544.0295,6248283.5,Sill 359,0.7312774876877464
277,4816.520171046555,2.0737306549232035,251246.678,5866899.09,Sill 36,0.3971697187701473
278,8126.733014129528,2.410300812247595,687645.5825,6245307.455,Sill 360,0.5194488282000089
279,4719.450384093824,2.6630381631015303,697738.0164999999,6237954.95,Sill 361,0.32015023724770186
280,44956.496429269304,2.6448782758252083,712666.5604999999,6237943.470000001,Sill 362,0.42565597085052387
281,2763.523365724868,2.7758691596378235,710253.8345,6228822.1850000005,Sill 363,0.2048781603032035
282,11699.302028319507,1.8999654650279907,638109.9815,6246581.3,Sill 364,1.210912794302899
285,6011.809827297014,0.5295163377770444,638146.835,6246606.96,Sill 367,0.3306709475719039
286,9468.262923913297,2.7267463434437857,645124.765,6251635.545,Sill 368,0.8683591897819936
287,14855.524687478079,1.712645737783483,623290.0715,6235908.994999999,Sill 369,1.1436151429833503
288,2020.165462445384,0.3188859630571592,253205.196,5864243.825,Sill 37,0.08147770830075796
289,7773.493291734381,3.123605961116779,600935.7585,6219821.92,Sill 370,0.9578904523528449
290,1986.3432265414247,2.603402261825472,256622.9055,5859677.640000001,Sill 38,0.41422874391299613
291,10675.647203958475,3.196971098475583,617504.1475,6231734.965,Sill 381,1.031474055183378
293,12469.166806046025,1.8119920532557876,586397.125,6208153.245,Sill 383,1.4529720412962095
294,4864.257592089366,2.6860422409951408,578934.5965,6203983.46,Sill 384,0.5403215262244334
295,7978.286350547049,4.044062297696532,594736.2205,6215372.45,Sill 385,0.6809378205636318
300,2863.854398697864,2.038393112513429,254872.6575,5862013.244999999,Sill 39,0.5443137036146359
302,6559.611995640108,1.3543891604674356,577402.858,6202913.87,Sill 391,0.8087901167632428
303,8279.480993530324,2.166079562594424,624695.5305,6236932.235,Sill 392,0.8178275883213413
304,3336.2188061582824,1.0584890520361014,630684.1240000001,6241238.66,Sill 393,0.37835741183633
305,3804.9412633581587,2.9171486133014994,629687.164,6240522.17,Sill 394,0.77117798724439
306,7152.0629355643005,2.732074335693502,634571.4885,6244736.215,Sill 395,0.9541013978292878
307,7782.345167436147,2.288202433775232,667908.3395,6268047.49,Sill 396,0.6222019076721315
308,2593.717463647196,2.5856855911586862,658460.0515,6261243.055,Sill 397,0.7081474368198886
309,3473.7808580862647,0.8622559631217781,660341.67,6262592.5600000005,Sill 398,0.4633450300530284
310,4274.967132793352,2.5474646515549306,659209.9990000001,6261779.81,Sill 399,0.4263535287168656
311,1030.8790622711194,2.492437580174781,371332.3145,5873850.855,Sill 4,0.08010715614517405
312,3229.3400640626132,3.2093077395082443,269406.0065,5842521.98,Sill 40,0.2021381780773237
313,12742.697726777436,2.574635016611917,660305.9235,6262551.5,Sill 400,1.226743972699917
314,3141.7338770820556,1.969383624370219,570416.5449999999,6197909.505000001,Sill 401,0.39185138960308175
315,8989.084564737705,1.6070216294778157,576874.381,6202540.390000001,Sill 402,0.9849380746018435
319,2334.3125790049567,3.0975713970072185,181306.15850000002,5918003.405,Sill 406,0.3620463061906065
320,2689.9319665189023,2.147459019327732,193986.92200000002,5927101.765,Sill 407,0.48281045206493456
328,3469.0343220164277,1.850515811917103,759729.5035,6146057.74,Sill 415,0.424730684261325
329,7331.873397012581,2.163545938577413,754688.6025,6150072.494999999,Sill 416,0.6732462323752944
330,6938.081103887071,2.3909635947555383,757081.9280000001,6148166.359999999,Sill 417,0.44559490945736346
331,10150.85708110053,2.965614468165441,755859.5995,6149139.87,Sill 418,0.7486659689230746
332,10582.135079590269,2.9423845384872647,747545.2905,6155761.68,Sill 419,0.9676655042380173
333,3219.305152470632,2.616731300418321,279929.36549999996,5828393.355,Sill 42,0.4563810956060035
334,15926.348284416466,2.087003716411642,736937.8935,6164209.785,Sill 420,0.5678905389119135
335,2562.7339437926303,1.0719137386771984,726895.1995000001,6172208.145,Sill 421,0.27301253011232296
336,2431.4407079957505,1.8853584562792047,728403.56,6171006.835,Sill 422,0.4101595473307289
337,21651.816120596097,3.159179887408161,730391.076,6169423.9,Sill 423,1.1591519420494398
338,3337.787126083496,2.5936676663407328,728963.3914999999,6170560.96,Sill 424,0.44159575778206994
340,5056.66695624178,1.4048980126222916,719372.98,6178199.105,Sill 426,0.4795978256927095
343,6700.562887920316,0.9581240355267676,702140.5245,6191923.645,Sill 429,0.7338491244689456
344,1577.3124056755273,2.149563763359737,281024.11,5826921.665,Sill 43,0.07325007589470767
345,12538.545613466384,1.319474970262696,702531.6625000001,6191612.125,Sill 430,0.6653483789791561
346,5875.494188643265,1.1514939736432779,679155.783,6210229.505,Sill 431,0.39033222198662854
347,13763.668948270215,2.1827359637891677,611355.8875,6264146.495,Sill 432,0.6584204217105474
348,2865.3422219302174,2.0168746330502105,617856.993,6259003.435,Sill 433,0.31066848161253957
349,4504.46329481946,2.479572897195295,614044.646,6262019.404999999,Sill 434,0.9333172022115677
350,12297.794576113794,1.7607089927297563,623418.0874999999,6254599.66,Sill 435,1.1753793994706667
351,8414.081718948386,1.9409187717430612,623746.4635000001,6254343.055,Sill 436,0.5230915729209846
352,6306.263558922616,2.508613239884011,622012.795,6255715.755,Sill 438,0.8997123787738579
353,5412.961838478131,1.337414900496976,629142.8245,6250061.6,Sill 439,0.9299329294822563
354,2536.418128942336,2.8113917975965514,283476.6765,5823634.865,Sill 44,0.6559555083935886
