midpoint_x midpoint_y bathy grav mag name diameter emplacement_depth transgressive_height
-9.82296193008 57.4442422428 1660.92728361 46.9518234114 33.4056280266 Sill1126 4754.64134351 1.62935066946 0.399021941688
-9.9459902292 56.1276908441 NaN NaN NaN Sill1128 6262.12541431 2.2033908907 0.652142315268
-9.69564031855 56.1411408634 NaN NaN NaN Sill1129 3680.35721272 3.86818288206 0.746739262852
-9.71232272124 56.2982290672 NaN NaN NaN Sill1130 6413.76936099 1.54642920134 0.384081467327
-9.71090411664 56.2982981345 NaN NaN NaN Sill1131 8549.6956624 3.01796208335 0.652964280141
-9.82357261917 56.2976572451 NaN NaN NaN Sill1132 6797.2581715 1.56493210459 0.196479637889
-9.90429457831 56.2981037131 NaN NaN NaN Sill1133 8498.56349347 1.89723808663 0.893768065936
-9.90397431064 56.297323463 NaN NaN NaN Sill1134 2874.71973019 0.963748983084 0.0993264892409
-9.52002600687 56.3871077341 NaN NaN NaN Sill1135 9824.54451606 4.4377070799 1.44274589446
-9.58925404448 56.3871613808 NaN NaN NaN Sill1136 6972.19959904 6.87586591009 0.789211284698
-9.65964847883 56.3869950301 NaN NaN NaN Sill1137 9769.87962866 3.46063108229 0.799499390314
-9.59159835321 56.3870651813 NaN NaN NaN Sill1138 4490.62427256 6.29303855644 0.583492356286
-11.3686858629 57.8043852222 1990.60409551 69.9618162873 -21.2522821204 Sill1139 2672.60428555 1.74339167715 0.374555280918
-11.2094081012 57.7435659649 2088.62438158 76.7962681164 -40.0073014026 Sill1142 2274.49876853 0.561208475985 0.186382968814
-10.2858090028 57.3791432127 2158.64336222 58.3706873055 -120.502156099 Sill1144 8948.85016831 2.00282446035 0.56480611352
-9.79846875052 56.0850320832 NaN NaN NaN Sill1147 5516.30944133 4.30583675794 0.615793190972
-9.39488139125 56.7097009321 1422.65755392 71.1437556172 -82.0148379799 Sill1148 8616.29729734 5.73199786278 0.670071185759
-10.3325637205 57.4018259384 2154.80115856 60.3708513175 -138.151168914 Sill1149 4898.89289705 3.64281426021 1.22296253756
-10.2482529636 57.3685015626 2152.14908499 56.6506658969 -127.283832803 Sill1150 3111.73871535 2.77457235822 0.692857748655
-10.2039203116 57.3509564827 2151.86146865 54.4562869387 -153.429175154 Sill1151 2875.4445432 3.08980714809 1.08634651691
-9.8886721432 57.2258604319 2049.51596351 54.6084542661 -140.827599078 Sill1152 10802.2724769 4.09307331183 0.872031835095
-9.79494667911 57.190309097 2000.74677884 58.0064463638 -129.302135611 Sill1153 2163.50754766 4.26026677406 0.831235748943
-10.1415732776 57.3259683422 2160.55618443 52.3834081392 -185.718184077 Sill1154 7968.42127123 3.40296948428 0.898642975561
-10.1401138685 57.319741857 2160.78895493 52.3561780782 -187.144350175 Sill1155 7579.8147245 2.49062842686 0.510471550432
-9.58737773772 57.1068973429 1835.8965052 69.424071111 -119.304308467 Sill1156 13598.7954543 5.18234857454 4.58058751501
-9.17728913757 56.8244065838 1042.76176421 56.0018635256 26.2345157745 Sill1157 7058.74814055 3.46899528515 1.04268669216
-9.99465968646 57.1456889566 2089.26953341 53.8787262761 -91.5281295846 Sill1158 12205.5917341 3.96109992776 1.43664225543
-10.1639450309 57.2097857701 2179.32317472 50.8052685113 -158.514735699 Sill1159 4824.43164137 2.13087105275 0.374336619639
-10.1667010386 57.2108770817 2182.32958776 50.8483958176 -159.148614846 Sill1160 5086.66893324 4.83448875523 1.26531472921
-10.220519636 57.2550034059 2213.43853864 52.7691073845 -171.525570056 Sill1161 9444.34073575 3.17066733094 1.35062444228
-10.322323539 57.2720334212 2228.19222493 56.3751548431 -124.200420186 Sill1162 6954.36388661 3.02478400008 0.242981016041
-10.4324547973 57.3139605323 2212.07411967 62.2638539184 -36.7179325658 Sill1163 3950.63066848 1.7421152774 1.11477616217
-10.5231119068 57.3514438758 2224.86386581 69.0760167706 -27.2967177555 Sill1164 8579.17744077 2.99404011349 1.12769504018
-10.0871183463 57.180379411 2140.94619358 52.1619274249 -123.791945657 Sill1165 8787.04677618 4.6739320873 0.717526545135
-9.92153208409 57.0584602373 2060.06540025 59.6275369729 -70.1665633265 Sill1166 6896.99789595 5.04545231289 1.5047342613
-9.28027830623 56.8192693997 1388.74129201 59.5723701599 -38.8130498478 Sill1167 5332.25447943 1.30853640045 0.727871708922
-9.3383791515 56.841367335 1487.86005091 63.3712255449 -85.2335451607 Sill1168 2549.23021104 4.43480525279 0.362409083059
-9.49998248816 56.9051780493 1724.38168588 76.001229256 -32.4752832402 Sill1169 3809.3984396 4.30602463463 0.40812544743
